Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Uro Drawgo,http://www.mtgtop8.com/event?e=27171&d=413781&f=EDH,Arthur Le Goanvic,1202,3911,59.95,325,EDH
U-ro Genesis,http://www.mtgtop8.com/event?e=27297&d=416211&f=EDH,Pierre-antoine Schmidt,818,3611,34.95,219,EDH
"Uro, Titan Of Nature's Wrath",http://www.mtgtop8.com/event?e=27019&d=411725&f=EDH,Lionel Gallière,889,3440,34.95,250,EDH
"Uro, Wrath Of The Genesis Strom",http://www.mtgtop8.com/event?e=26864&d=409386&f=EDH,"Julien ""la Tielle"" Castéla",986,3677,34.95,179,EDH
Uro Genesis Storm,http://www.mtgtop8.com/event?e=27051&d=412621&f=EDH,Paul Lagues,900,3751,34.95,249,EDH
"Uro, Titan Of Nature's Wrath",http://www.mtgtop8.com/event?e=27019&d=411724&f=EDH,Baptiste Touboulic,1113,3774,34.95,307,EDH
"Uro, Wrath Of The Genesis Storm",http://www.mtgtop8.com/event?e=26864&d=409389&f=EDH,"Anthony ""tototaker"" Ruer",983,3682,34.95,179,EDH
Aminatou,http://www.mtgtop8.com/event?e=27377&d=417126&f=EDH,Léo Poussou,14821,8207,34.95,280,EDH
"Aminatou, The Fateshifter",http://www.mtgtop8.com/event?e=27090&d=412966&f=EDH,Grosduk,14769,8217,34.95,276,EDH
"Aminatou, The Fateshifter",http://www.mtgtop8.com/event?e=27090&d=412964&f=EDH,Japanese,14779,8218,34.95,289,EDH
"Aminatou, The Fateshifter",http://www.mtgtop8.com/event?e=27244&d=414448&f=EDH,"Gengnan,ren",14759,8226,34.95,275,EDH
Aminatou,http://www.mtgtop8.com/event?e=27377&d=417127&f=EDH,Dorian Matichard,14821,8207,34.95,280,EDH
Aminatou,http://www.mtgtop8.com/event?e=26794&d=407926&f=EDH,Baptiste Capou,15046,8521,34.95,278,EDH
Aminatou,http://www.mtgtop8.com/event?e=27377&d=417125&f=EDH,Quentin Pottier,14398,7085,34.95,271,EDH
Aminatou,http://www.mtgtop8.com/event?e=26758&d=407505&f=EDH,Jasper R. Nielsen,14966,9232,34.95,287,EDH
"Aminatou, The Fateshifter",http://www.mtgtop8.com/event?e=27177&d=413826&f=EDH,Josef Kumstyr,14491,7181,34.95,275,EDH
"Aminatou, the Fateshifter",http://www.mtgtop8.com/event?e=27402&d=417430&f=EDH,Josef Kumstyr,7274,5687,34.95,267,EDH
Aminatou,http://www.mtgtop8.com/event?e=26259&d=399634&f=EDH,Japanese,14750,8168,34.95,277,EDH
"Aminatou, The Fateshifter",http://www.mtgtop8.com/event?e=26747&d=407392&f=EDH,Gregoire Payan,14797,8213,34.95,277,EDH
Aminatou,http://www.mtgtop8.com/event?e=26758&d=407507&f=EDH,Japanese,14768,8213,34.95,282,EDH
Aminatou,http://www.mtgtop8.com/event?e=26572&d=405133&f=EDH,Josef Kumstyr,6981,4631,34.95,263,EDH
Aminatou,http://www.mtgtop8.com/event?e=26559&d=405007&f=EDH,Robert Starke,15070,8531,34.95,295,EDH
Aminatou,http://www.mtgtop8.com/event?e=26258&d=399627&f=EDH,Jiri Kracik,14743,8187,34.95,275,EDH
Aminatou,http://www.mtgtop8.com/event?e=26331&d=400714&f=EDH,Alex Llojira,15075,8370,34.95,204,EDH
Aminatou,http://www.mtgtop8.com/event?e=26258&d=399625&f=EDH,Robert Starke,15049,8420,34.95,291,EDH
Aminatou,http://www.mtgtop8.com/event?e=26331&d=400709&f=EDH,"Claude ""meuz"" Roger",15062,8409,34.95,274,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=27443&d=417966&f=EDH,Gaëtan Pican (teepex),9237,8987,34.95,285,EDH
"Aminatou, The Fateshifter",http://www.mtgtop8.com/event?e=26555&d=404945&f=EDH,Anthony Barbosa,14693,8152,34.95,274,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=26747&d=407391&f=EDH,Matthias Muller,8924,8602,34.95,252,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=27297&d=416206&f=EDH,Killian Boulhaïs,9120,8829,34.95,268,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=27026&d=411773&f=EDH,Ephraïm Zunino,9097,8808,34.95,282,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=27255&d=414561&f=EDH,Guillaume Cailliez,9008,8696,34.95,297,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=27297&d=416209&f=EDH,Antoine Vieilledent,9137,8839,34.95,234,EDH
Kess,http://www.mtgtop8.com/event?e=26559&d=405006&f=EDH,Jan Štefan,9153,9692,59.95,306,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=27026&d=411772&f=EDH,Matthias Muller,8985,8679,34.95,241,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=27255&d=414562&f=EDH,Mathias Muller,8985,8679,34.95,241,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=27218&d=414134&f=EDH,Kilian Boulhaïs,9120,8824,34.95,268,EDH
Akiri + Silas,http://www.mtgtop8.com/event?e=27121&d=413313&f=EDH,Romain Chassagne,15975,14495,34.95,209,EDH
Akiri + Silas,http://www.mtgtop8.com/event?e=27052&d=412625&f=EDH,Marc Chassagne,15975,14495,34.95,209,EDH
Akiri & Silas,http://www.mtgtop8.com/event?e=26553&d=404939&f=EDH,Midas!,15362,14146,34.95,210,EDH
"Kess, Dissident Mage",http://www.mtgtop8.com/event?e=26555&d=404948&f=EDH,Antoine Vieilledent,9137,8840,34.95,234,EDH
Akiri + Silas,http://www.mtgtop8.com/event?e=26599&d=405362&f=EDH,M.das,15362,14146,34.95,210,EDH
Akiri + Silas,http://www.mtgtop8.com/event?e=26747&d=407388&f=EDH,Clement Gillard,15353,13919,34.95,216,EDH
Akiri + Silas,http://www.mtgtop8.com/event?e=26864&d=409384&f=EDH,Kévin Jouet,15327,13906,34.95,214,EDH
Akiri + Silas,http://www.mtgtop8.com/event?e=27255&d=414568&f=EDH,Audren Balic,14685,11168,34.95,206,EDH
Akiri + Silas,http://www.mtgtop8.com/event?e=27089&d=412957&f=EDH,Noël Sylvain,15641,14204,34.95,185,EDH
Akiri + Silas,http://www.mtgtop8.com/event?e=26721&d=407004&f=EDH,Pierre Claverias-mengin,15363,14040,34.95,237,EDH
Niv Mizzet Reborn,http://www.mtgtop8.com/event?e=26927&d=410032&f=EDH,'eventwin' Damien Jantzen,16215,19101,34.95,293,EDH
Akiri + SilasAdept,http://www.mtgtop8.com/event?e=26599&d=405361&f=EDH,Carpenters,15353,13919,34.95,191,EDH
Niv-mizzet Reborn,http://www.mtgtop8.com/event?e=27025&d=411770&f=EDH,Hu Minzhe,16221,18944,34.95,269,EDH
Niv-mizzet Reborn,http://www.mtgtop8.com/event?e=26553&d=404938&f=EDH,Hannibal,16179,19191,59.95,352,EDH
Niv-mizzet Reborn,http://www.mtgtop8.com/event?e=26598&d=405359&f=EDH,Hannibal44,16216,19291,59.95,359,EDH
