Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26950&d=410844&f=ST,Oliver Frith,96,99,9.95,27
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26836&d=408572&f=ST,Claudio Lupi,71,78,9.95,14
Mardu Kight Aggro,http://www.mtgtop8.com/event?e=27047&d=412575&f=ST,Maycon Guimaraes,202,213,9.95,39
Mardu Knight Aggro,http://www.mtgtop8.com/event?e=27116&d=413276&f=ST,Humberto Casagrande,201,212,9.95,39
Mardu Knights Aggro,http://www.mtgtop8.com/event?e=27008&d=411616&f=ST,Jacob Sklar,234,244,9.95,56
Mardu Knight Aggro,http://www.mtgtop8.com/event?e=27367&d=417042&f=ST,Matsunaga Takahiro,244,252,9.95,65
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=26732&d=407235&f=ST,Wendy Piringer,94,95,9.95,7
Dimir Aggro,http://www.mtgtop8.com/event?e=27418&d=417653&f=ST,Rikhter,323,156,34.95,223
Dimir Midrange,http://www.mtgtop8.com/event?e=26837&d=408578&f=ST,Brant Cox,194,193,34.95,130
Sultai Aggro,http://www.mtgtop8.com/event?e=27350&d=416882&f=ST,Christopher Caravello,479,494,59.95,295
Sultai Flash,http://www.mtgtop8.com/event?e=27030&d=411809&f=ST,Brandon Pascal,463,502,34.95,226
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=27055&d=412654&f=ST,kulszewe,84,89,9.95,17
Mardu Aggro,http://www.mtgtop8.com/event?e=26969&d=411151&f=ST,Zac Lee,276,285,9.95,80
Dimir Aggro,http://www.mtgtop8.com/event?e=27431&d=417805&f=ST,Giovanni Agrella,239,161,34.95,130
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=27381&d=417157&f=ST,Murilo Marquez De Oliveira Filho,87,39,9.95,25
Boros Cycling Aggro,http://www.mtgtop8.com/event?e=27329&d=416556&f=ST,Hampuse1,84,89,9.95,17
Dimir Aggro,http://www.mtgtop8.com/event?e=27408&d=417494&f=ST,Victor Beauchamp,157,128,34.95,117
Dimir Flash,http://www.mtgtop8.com/event?e=27246&d=414460&f=ST,Inaba Konann,238,241,34.95,152
Sultai Aggro,http://www.mtgtop8.com/event?e=26777&d=407704&f=ST,Ian Birrell,580,598,59.95,320
Sultai Trial Midrange,http://www.mtgtop8.com/event?e=26969&d=411155&f=ST,Davis Munsat,519,527,34.95,233
Mardu Knights,http://www.mtgtop8.com/event?e=27105&d=413179&f=ST,Raffaele Lo Moro,208,224,9.95,39
6 Mardu Knight,http://www.mtgtop8.com/event?e=27132&d=413422&f=ST,Paulo Chiozzani,192,201,9.95,50
Dimir Midrange,http://www.mtgtop8.com/event?e=27105&d=413181&f=ST,Thiago da Silva,237,232,34.95,152
Sultai Aggro,http://www.mtgtop8.com/event?e=26751&d=407436&f=ST,Hgrose,521,556,34.95,176
Golgari Aggro,http://www.mtgtop8.com/event?e=27137&d=413468&f=ST,Many Toed Cat Productions,407,417,34.95,148
Golgari Aggro,http://www.mtgtop8.com/event?e=26807&d=408129&f=ST,Many Toed Cat Productions,407,418,34.95,148
Mono Blue Aggro,http://www.mtgtop8.com/event?e=26682&d=406584&f=ST,Yuzawa Ayato,150,164,34.95,115
