Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
Fires of Invention,http://www.mtgtop8.com/event?e=27259&d=414605&f=PI,Th00mor,320,349,34.95,112
Fires of Invention,http://www.mtgtop8.com/event?e=27214&d=414124&f=PI,Hata Hideaki,453,503,34.95,256
Fires of Invention,http://www.mtgtop8.com/event?e=27310&d=416317&f=PI,Masuda Satoshi,367,399,34.95,187
Fires of Invention,http://www.mtgtop8.com/event?e=27226&d=414264&f=PI,Arakawa Tomohiro,438,489,34.95,251
Fires of Invention,http://www.mtgtop8.com/event?e=27179&d=413838&f=PI,A22en,475,500,34.95,255
Fires of Invention,http://www.mtgtop8.com/event?e=27241&d=414404&f=PI,Asmodean1990,464,495,34.95,250
Fires of Invention,http://www.mtgtop8.com/event?e=27138&d=413467&f=PI,Oku Kazuhiro,542,623,34.95,135
Fires of Invention,http://www.mtgtop8.com/event?e=27158&d=413682&f=PI,Hara Kouki,434,473,34.95,242
Fires of Invention,http://www.mtgtop8.com/event?e=27054&d=412628&f=PI,Sunbird17,450,470,34.95,228
Jeskai Fires of Invention,http://www.mtgtop8.com/event?e=26905&d=409806&f=PI,jay44bab,458,488,34.95,250
Jeskai Fires of Invention,http://www.mtgtop8.com/event?e=27129&d=413374&f=PI,TheMAChudz,367,398,34.95,168
Fires of Invention,http://www.mtgtop8.com/event?e=27010&d=411643&f=PI,Th00mor,512,595,34.95,147
Jeskai Fires of Invention,http://www.mtgtop8.com/event?e=26937&d=410242&f=PI,Ito Hayato,424,450,34.95,251
Jeskai Fires of Invention,http://www.mtgtop8.com/event?e=27010&d=411644&f=PI,krebrovich,475,526,34.95,247
Fires of Invention,http://www.mtgtop8.com/event?e=26875&d=409510&f=PI,Mochiki Kazuto,403,441,34.95,322
Sultai Control,http://www.mtgtop8.com/event?e=27440&d=417934&f=PI,kvza,593,675,34.95,271
Sultai Delirium,http://www.mtgtop8.com/event?e=27316&d=416407&f=PI,Okamura Takumi,723,781,34.95,339
Sultai Control,http://www.mtgtop8.com/event?e=27422&d=417726&f=PI,Katou Ryu,690,764,59.95,356
Jeskai Fires of Invention,http://www.mtgtop8.com/event?e=26975&d=411232&f=PI,Kishi Daisuke,413,478,34.95,240
Sultai Yorion Control,http://www.mtgtop8.com/event?e=26725&d=407025&f=PI,McWinSauce,784,860,34.95,350
Sultai Control,http://www.mtgtop8.com/event?e=27054&d=412635&f=PI,exoticherman,679,716,34.95,315
Sultai Control,http://www.mtgtop8.com/event?e=27259&d=414599&f=PI,Ladon,607,689,34.95,280
Jeskai Fires of Invention,http://www.mtgtop8.com/event?e=26845&d=409141&f=PI,yunk3r,476,503,34.95,197
Sultai Control,http://www.mtgtop8.com/event?e=26893&d=409673&f=PI,Arianne,696,761,59.95,323
Sultai Control,http://www.mtgtop8.com/event?e=26845&d=409145&f=PI,Elad_Win,681,749,59.95,322
Sultai Control,http://www.mtgtop8.com/event?e=27310&d=416315&f=PI,Niwa Keita,692,762,59.95,294
